date,place,rating
2016-09-01,10,6843
2016-09-01,20,5934
2016-09-01,50,5211
2016-09-01,100,4528
2016-09-08,1,11237
2016-09-08,10,6843
2016-09-08,20,5918
2016-09-08,50,5201
2016-09-08,100,4490
2016-09-15,1,11290
2016-09-15,10,6843
2016-09-15,20,5987
2016-09-15,50,5180
2016-09-15,100,4589
2016-09-22,1,11140
2016-09-22,10,7062
2016-09-22,20,6044
2016-09-22,50,5180
2016-09-22,100,4534
2016-09-29,1,11324
2016-09-29,10,6992
2016-09-29,20,6020
2016-09-29,50,5178
2016-09-29,100,4611
2016-10-06,1,11464
2016-10-06,10,6879
2016-10-06,20,5970
2016-10-06,50,5178
2016-10-06,100,4607
2016-10-13,1,11458
2016-10-13,10,6854
2016-10-13,20,6068
2016-10-13,50,5207
2016-10-13,100,4584
2016-10-20,1,11161
2016-10-20,10,6843
2016-10-20,20,6057
2016-10-20,50,5183
2016-10-20,100,4580
2016-10-27,1,11219
2016-10-27,10,6843
2016-10-27,20,6141
2016-10-27,50,5153
2016-10-27,100,4547
2016-11-03,1,11156
2016-11-03,10,6843
2016-11-03,20,6094
2016-11-03,50,5183
2016-11-03,100,4585
2016-11-10,1,11088
2016-11-10,10,6955
2016-11-10,20,6063
2016-11-10,50,5183
2016-11-10,100,4606
2016-11-17,1,11569
2016-11-17,10,6979
2016-11-17,20,6063
2016-11-17,50,5248
2016-11-17,100,4671
2016-11-24,1,11616
2016-11-24,10,7030
2016-11-24,20,6008
2016-11-24,50,5269
2016-11-24,100,4670
2016-12-01,1,11484
2016-12-01,10,7030
2016-12-01,20,6008
2016-12-01,50,5268
2016-12-01,100,4627
2016-12-08,1,11191
2016-12-08,10,6985
2016-12-08,20,6021
2016-12-08,50,5254
2016-12-08,100,4683
2016-12-15,1,11243
2016-12-15,10,6985
2016-12-15,20,6026
2016-12-15,50,5270
2016-12-15,100,4632
2016-12-22,1,11089
2016-12-22,10,7104
2016-12-22,20,6002
2016-12-22,50,5258
2016-12-22,100,4686
2016-12-29,1,11089
2016-12-29,10,7076
2016-12-29,20,6076
2016-12-29,50,5270
2016-12-29,100,4687
2017-01-05,1,11089
2017-01-05,10,6984
2017-01-05,20,6076
2017-01-05,50,5258
2017-01-05,100,4704
2017-01-12,1,11089
2017-01-12,10,6947
2017-01-12,20,6076
2017-01-12,50,5239
2017-01-12,100,4687
2017-01-19,1,11089
2017-01-19,10,6869
2017-01-19,20,5931
2017-01-19,50,5219
2017-01-19,100,4683
2017-01-26,1,10907
2017-01-26,10,6715
2017-01-26,20,6054
2017-01-26,50,5272
2017-01-26,100,4686
2017-02-02,1,10907
2017-02-02,10,6715
2017-02-02,20,5973
2017-02-02,50,5268
2017-02-02,100,4683
2017-02-09,1,10866
2017-02-09,10,6826
2017-02-09,20,6024
2017-02-09,50,5301
2017-02-09,100,4738
2017-02-16,1,11139
2017-02-16,10,6771
2017-02-16,20,6065
2017-02-16,50,5290
2017-02-16,100,4673
2017-02-23,1,11043
2017-02-23,10,6732
2017-02-23,20,6068
2017-02-23,50,5307
2017-02-23,100,4694
2017-03-02,1,11105
2017-03-02,10,6809
2017-03-02,20,6109
2017-03-02,50,5315
2017-03-02,100,4732
2017-03-09,1,10960
2017-03-09,10,6733
2017-03-09,20,6106
2017-03-09,50,5315
2017-03-09,100,4797
2017-03-16,1,10967
2017-03-16,10,6765
2017-03-16,20,6095
2017-03-16,50,5328
2017-03-16,100,4797
2017-03-23,1,10967
2017-03-23,10,6728
2017-03-23,20,6057
2017-03-23,50,5366
2017-03-23,100,4760
2017-03-30,1,10938
2017-03-30,10,6826
2017-03-30,20,6094
2017-03-30,50,5365
2017-03-30,100,4760
2017-04-06,1,11080
2017-04-06,10,6908
2017-04-06,20,6108
2017-04-06,50,5348
2017-04-06,100,4800
2017-04-13,1,11201
2017-04-13,10,6917
2017-04-13,20,6108
2017-04-13,50,5357
2017-04-13,100,4809
2017-04-20,1,11201
2017-04-20,10,6840
2017-04-20,20,6093
2017-04-20,50,5414
2017-04-20,100,4800
2017-04-27,1,11201
2017-04-27,10,6840
2017-04-27,20,6133
2017-04-27,50,5433
2017-04-27,100,4800
2017-05-04,1,11122
2017-05-04,10,6805
2017-05-04,20,6184
2017-05-04,50,5433
2017-05-04,100,4796
2017-05-11,1,11112
2017-05-11,10,6967
2017-05-11,20,6114
2017-05-11,50,5529
2017-05-11,100,4825
2017-05-18,1,11182
2017-05-18,10,6913
2017-05-18,20,6114
2017-05-18,50,5508
2017-05-18,100,4825
2017-05-25,1,11182
2017-05-25,10,6997
2017-05-25,20,6114
2017-05-25,50,5529
2017-05-25,100,4855
2017-06-01,1,11182
2017-06-01,10,6973
2017-06-01,20,6100
2017-06-01,50,5517
2017-06-01,100,4885
2017-06-08,1,11021
2017-06-08,10,6940
2017-06-08,20,6207
2017-06-08,50,5524
2017-06-08,100,4926
2017-06-15,1,11021
2017-06-15,10,6940
2017-06-15,20,6180
2017-06-15,50,5518
2017-06-15,100,4926
2017-06-22,1,11021
2017-06-22,10,6940
2017-06-22,20,6180
2017-06-22,50,5586
2017-06-22,100,4930
2017-06-29,1,11021
2017-06-29,10,6968
2017-06-29,20,6180
2017-06-29,50,5517
2017-06-29,100,4930
2017-07-06,1,11021
2017-07-06,10,6893
2017-07-06,20,6180
2017-07-06,50,5561
2017-07-06,100,4939
2017-07-13,1,11021
2017-07-13,10,6864
2017-07-13,20,6276
2017-07-13,50,5592
2017-07-13,100,4961
2017-07-20,1,10823
2017-07-20,10,6857
2017-07-20,20,6283
2017-07-20,50,5596
2017-07-20,100,4958
2017-07-27,1,10823
2017-07-27,10,6894
2017-07-27,20,6276
2017-07-27,50,5596
2017-07-27,100,4961
2017-08-03,1,10823
2017-08-03,10,6894
2017-08-03,20,6247
2017-08-03,50,5596
2017-08-03,100,4985
2017-08-10,1,10879
2017-08-10,10,6894
2017-08-10,20,6276
2017-08-10,50,5596
2017-08-10,100,5006
2017-08-17,1,10879
2017-08-17,10,6894
2017-08-17,20,6276
2017-08-17,50,5576
2017-08-17,100,5029
2017-08-24,1,10807
2017-08-24,10,6878
2017-08-24,20,6276
2017-08-24,50,5596
2017-08-24,100,5031
2017-08-31,1,10216
2017-08-31,10,7033
2017-08-31,20,6400
2017-08-31,50,5615
2017-08-31,100,5060
2017-09-01,1,10216
