date,place,rating
2020-01-16,100,6748
2020-01-23,1,10148
2020-01-23,10,8807
2020-01-23,20,8426
2020-01-23,50,7366
2020-01-23,100,6783
2020-01-30,1,10148
2020-01-30,10,8821
2020-01-30,20,8412
2020-01-30,50,7431
2020-01-30,100,6804
2020-02-06,1,10380
2020-02-06,10,8863
2020-02-06,20,8459
2020-02-06,50,7461
2020-02-06,100,6826
2020-02-13,1,10494
2020-02-13,10,8853
2020-02-13,20,8522
2020-02-13,50,7512
2020-02-13,100,6828
2020-02-21,1,10494
2020-02-21,10,8853
2020-02-21,20,8519
2020-02-21,50,7562
2020-02-21,100,6845
2020-02-28,1,10516
2020-02-28,10,8969
2020-02-28,20,8555
2020-02-28,50,7569
2020-02-28,100,6869
2020-03-06,1,10516
2020-03-06,10,9022
2020-03-06,20,8529
2020-03-06,50,7697
2020-03-06,100,6879
2020-03-13,1,10653
2020-03-13,10,9100
2020-03-13,20,8527
2020-03-13,50,7714
2020-03-13,100,6909
2020-03-20,1,10653
2020-03-20,10,9100
2020-03-20,20,8533
2020-03-20,50,7735
2020-03-20,100,6941
2020-03-27,1,10653
2020-03-27,10,9041
2020-03-27,20,8553
2020-03-27,50,7740
2020-03-27,100,6941
2020-04-03,1,10653
2020-04-03,10,9041
2020-04-03,20,8553
2020-04-03,50,7740
2020-04-03,100,6941
